sequence,stage,skill,course_id,course_name,institution,course_score,status,student_id,current_profession,dominant_intelligence,learning_style,learning_recommendation,pace,difficulty,practice_level,activity_recommendation
11,Machine Learning,Causal-Model Approaches,crash-course-in-causality,a crash course in causality: inferring causal effects from observational data,university of pennsylvania,0.6490125195618153,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
12,Machine Learning,Text Mining,introduction-tensorflow,"introduction to tensorflow for artificial intelligence, machine learning, and deep learning",deeplearning.ai,0.6973278835745257,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
13,Databases and Big Data,Sql,python-data,python data structures,university of michigan,0.8935830632300301,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
14,Databases and Big Data,Big Data,what-is-datascience,what is data science?,ibm,0.778520285233413,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
15,Databases and Big Data,Hadoop,what-is-datascience,what is data science?,ibm,0.778520285233413,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
16,Databases and Big Data,Apache Spark,big-data-essentials,"big data essentials: hdfs, mapreduce and spark rdd",yandex,0.4744227221737505,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
17,Databases and Big Data,Hive,,,,0.0,Skill Gap - No Course,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
18,Databases and Big Data,Pig,,,,0.0,Skill Gap - No Course,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
19,Cloud and Tools,Cloud Platforms,gcp-fundamentals,google cloud platform fundamentals: core infrastructure,google cloud,0.7486627812149343,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
20,Cloud and Tools,Aws,machine-learning,machine learning,stanford university,0.929384784317612,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
21,Cloud and Tools,Tableau,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,0.6842206572769953,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
22,Professional Skills,Communication,ai-for-everyone,ai for everyone,deeplearning.ai,0.8093861502347418,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
23,Professional Skills,Stakeholder Engagement,,,,0.0,Skill Gap - No Course,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
24,Professional Skills,Strategic Thinking,strategic-management,strategic management,copenhagen business school,0.6820070204508786,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
25,Professional Skills,Problem Solving,everyday-excel-part-2,"everyday excel, part 2",university of colorado boulder,0.6929827856025039,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
26,Professional Skills,Project Management,project-planning,initiating and planning projects,"university of california, irvine",0.7066917978458989,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
27,Professional Skills,Teamwork,oilandgas,oil & gas industry operations and markets,duke university,0.6943225035283274,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
28,Professional Skills,Business Acumen,brand,"brand management: aligning business, brand and behaviour",london business school,0.7062443896476741,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
29,Professional Skills,Transparency,,,,0.0,Skill Gap - No Course,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
30,Professional Skills,Storytelling,wharton-success,success,university of pennsylvania,0.6912283785356769,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
31,Professional Skills,Iterative Development,uva-darden-getting-started-agile,agile meets design thinking,university of virginia,0.6767609069048436,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
